code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
WGU,West Guji,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
WGU,የምዕራብ ጉጂ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
EHR,East Hararghe,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
EHR,ምስራቅ ሀረርጌ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
WHR,West Hararghe,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
WHR,የምዕራብ ሀረርጌ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
BBL,Buno Bedele,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
BBL,ቡኖ በደሌ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
ESH,East Shewa,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
ESH,ምስራቅ ሸዋ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
IAB,Ilu Abba Bora,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
IAB,ኢሉ ኣባ ቦራ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
WSZ,West Shewa,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
WSZ,ምዕራብ ሸዋ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
NSH,North Shewa,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
NSH,ሰሜን ሸዋ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
SWS,South West Shewa,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
SWS,ደቡብ ምዕራብ ሸዋ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
OSF,Oromia Special Zone Surrounding Finfinne,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
SOM,somali,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
ADM,Adama,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
ADM,አዳማ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
JMM,Jimma,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
JMM,ጅማ,2,ዞን,ORO,amh,t,110011,2021-02-10 07:55:07.585804
ETH,ኢትዮጵያ,0,ሀገር,,amh,t,110011,2021-02-10 07:55:07.585804
ETH,Ethiopia,0,Country,,eng,t,110011,2021-02-10 07:55:07.585804
2000,Woreda 01,4,Woreda,KKE,eng,t,110011,2021-02-12 08:34:14.104514
SDZ,ሲዳማ,2,ዞን,SDM,amh,t,110011,2021-02-10 07:55:07.585804
AWR,Awsi Rasu,2,Zone,AFR,eng,t,110011,2021-02-10 07:55:07.585804
