code,descr,lang_code,is_active,cr_by,cr_dtimes
html,html file,eng,t,superadmin,2020-12-23 14:36:49.622182
json,Json File,eng,t,superadmin,2020-12-23 14:36:49.622182
txt,Text File,eng,t,superadmin,2020-12-23 14:36:49.622182
xml,XML File,eng,t,superadmin,2020-12-23 14:36:49.622182
html,html ፋይል,amh,t,superadmin,2020-12-23 14:36:49.622182
json,Json ፋይል,amh,t,superadmin,2020-12-23 14:36:49.622182
txt,Text ፋይል,amh,t,superadmin,2020-12-23 14:36:49.622182
xml,XML ፋይል,amh,t,superadmin,2020-12-23 14:36:49.622182
